ID	LING. ISSUE	QUESTION	SOURCE	REFERENCE	System1	System2	System3	System4	System1 id	System2 id	System3 id	System4 id
S1a	Morpho-Syn 1: S-V agreement, across distractors	Is subject-verb agrement correct? (Possible interference distractors between the subject's head and the verb).	The repeated calls from his mother [should] have alerted us.	Les appels répétés de sa mère [auraient] dû nous alerter.	Les appels répétés de sa mère devraient nous avoir alertés.	Les appels répétés de sa mère auraient dû nous alerter.	Les appels répétés de sa mère aurait dû nous a alertés.	Les appels répétés de sa mère aurait dû nous a alertés.	NRC's NMT	Google's NMT (March 2017)	NRC PBMT	NRC PBMT2
S1b	Morpho-Syn 1: S-V agreement, across distractors	Is subject-verb agrement correct? (Possible interference distractors between the subject's head and the verb).	The sudden noise in the upper rooms [should] have alerted us.	Le bruit soudain dans les chambres supérieures [aurait] dû nous alerter.	Le bruit soudain dans les chambres supérieures auraient dû nous a alertés.	Le bruit soudain dans les chambres supérieures auraient dû nous a alertés.	Le bruit soudain dans les chambres supérieures devrait nous avoir alerté.	Le bruit soudain dans les chambres supérieures devrait nous avoir alerté.	NRC PBMT	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)
S1a	Morpho-Syn 1: S-V agreement, across distractors	Is subject-verb agrement correct? (Possible interference distractors between the subject's head and the verb).	Their repeated failures to report the problem [should] have alerted us.	Leurs échecs répétés à signaler le problème [auraient] dû nous alerter.	Leur échec répété à signaler le problème aurait dû nous alerter.	Leurs échecs répétés à signaler le problème aurait dû nous a alertés.	Leurs échecs répétés de signaler le problème aurait dû nous a alertés.	Leurs échecs répétés pour signaler le problème devraient nous avoir alertés.	Google's NMT (March 2017)	NRC PBMT2	NRC PBMT	NRC's NMT
S2a	Morpho-Syn 2: S-V agreement, through control verbs	Does the flagged adjective agree correctly with its subject? (Subject-control versus object-control verbs).	She asked her brother not to be [arrogant].	Elle a demandé à son frère de ne pas se montrer [arrogant].	Elle a demandé à son frère de ne pas être arrogant.	Elle a demandé à son frère de ne pas être arrogant.	Elle a demandé à son frère de ne pas être arrogants.	Elle a demandé à son frère de ne pas être arrogant.	NRC's NMT	Google's NMT (March 2017)	NRC PBMT2	NRC PBMT
S2b	Morpho-Syn 2: S-V agreement, through control verbs	Does the flagged adjective agree correctly with its subject? (Subject-control versus object-control verbs).	She promised her brother not to be [arrogant].	Elle a promis à son frère de ne pas être [arrogante].	Elle a promis son frère à ne pas être arrogant.	Elle a promis à son frère de ne pas être arrogant.	Elle a promis à son frère de ne pas être arrogant .	Elle a promis son frère de ne pas être arrogants.	NRC PBMT	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2
S2c	Morpho-Syn 2: S-V agreement, through control verbs	Does the flagged adjective agree correctly with its subject? (Subject-control versus object-control verbs).	She promised her doctor to remain [active] after retiring.	Elle a promis à son médecin de demeurer [active] après s'être retirée.	Elle a promis son médecin pour demeurer actif après sa retraite.	Elle a promis son médecin de demeurer active après sa retraite.	Elle a promis à son médecin de rester actif après sa retraite.	Elle a promis à son médecin de rester actif après sa retraite.	NRC PBMT	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT
S2d	Morpho-Syn 2: S-V agreement, through control verbs	Does the flagged adjective agree correctly with its subject? (Subject-control versus object-control verbs).	My mother promised my father to be more [prudent] on the road.	Ma mère a promis à mon père d'être plus [prudente] sur la route.	Ma mère a promis à mon père d'être plus prudent sur la route.	Ma mère , mon père a promis d'être plus prudent sur la route.	Ma mère a promis à mon père d'être plus prudent sur la route.	Ma mère , mon père a promis d'être plus prudent sur la route.	NRC's NMT	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT
S3a	Morpho-Syn 3: S-V agreement, coordinated targets	Do the marked verbs/adjective agree correctly with their subject? (Agreement distribution over coordinated predicates)	The woman was very [tall] and extremely [strong].	La femme était très [grande] et extrêmement [forte].	La femme était très gentil et très fort.	La femme était très haute et extrêmement forte.	La femme était très gentil et extrêmement forte.	La femme était très grande et extrêmement forte.	NRC PBMT2	NRC's NMT	NRC PBMT	Google's NMT (March 2017)
S3b	Morpho-Syn 3: S-V agreement, coordinated targets	Do the marked verbs/adjective agree correctly with their subject? (Agreement distribution over coordinated predicates)	Their politicians were more [ignorant] than [stupid].	Leurs politiciens étaient plus [ignorants] que [stupides].	Leurs politiciens étaient plus ignorants que stupides.	Les politiciens étaient plus ignorants que stupide.	Les politiciens étaient plus ignorants que stupide.	Leurs politiciens étaient plus ignorants que stupides.	NRC's NMT	NRC PBMT2	NRC PBMT	Google's NMT (March 2017)
S3c	Morpho-Syn 3: S-V agreement, coordinated targets	Do the marked verbs/adjective agree correctly with their subject? (Agreement distribution over coordinated predicates)	We [shouted] an insult and [left] abruptly.	Nous [avons] lancé une insulte et nous [sommes] partis brusquement.	Nous avons crié une insulte et nous avons laissé brusquement.	Nous avons crié une insulte et a laissé brutalement.	Nous avons crié une insulte et nous sommes partis brusquement.	Nous avons crié une insulte et a quitté abruptement.	NRC's NMT	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT
